TE,TI,TR,PID,DATA,HORA
24.900000,46.406250,55.000000,100,20/3/2021, 21:25:36
24.900000,47.050781,55.000000,100,20/3/2021, 21:25:37
24.900000,47.050781,55.000000,100,20/3/2021, 21:25:38
24.900000,47.244141,55.000000,100,20/3/2021, 21:25:39
24.900000,47.244141,55.000000,100,20/3/2021, 21:25:40
24.910000,48.017578,55.000000,100,20/3/2021, 21:25:41
24.910000,48.017578,55.000000,100,20/3/2021, 21:25:42
24.900000,48.017578,55.000000,100,20/3/2021, 21:25:43
24.889999,48.887695,55.000000,100,20/3/2021, 21:25:44
24.900000,48.887695,55.000000,100,20/3/2021, 21:25:45
24.900000,49.177734,55.000000,100,20/3/2021, 21:25:46
24.900000,49.177734,55.000000,100,20/3/2021, 21:25:47
24.889999,48.629883,55.000000,100,20/3/2021, 21:25:48
24.900000,48.629883,55.000000,100,20/3/2021, 21:25:49
24.889999,48.919922,55.000000,100,20/3/2021, 21:25:50
24.900000,48.919922,55.000000,100,20/3/2021, 21:25:51
24.889999,48.758789,55.000000,100,20/3/2021, 21:25:52
24.889999,48.758789,55.000000,100,20/3/2021, 21:25:53
24.889999,48.082031,55.000000,100,20/3/2021, 21:25:54
24.889999,48.082031,55.000000,100,20/3/2021, 21:25:55
24.889999,48.178711,55.000000,100,20/3/2021, 21:25:56
24.889999,48.178711,55.000000,100,20/3/2021, 21:25:57
24.889999,48.984375,55.000000,100,20/3/2021, 21:25:58
24.900000,48.984375,55.000000,100,20/3/2021, 21:25:59
24.889999,49.371094,55.000000,100,20/3/2021, 21:26:00
24.889999,49.371094,55.000000,100,20/3/2021, 21:26:01
24.889999,49.338867,55.000000,100,20/3/2021, 21:26:02
24.889999,49.338867,55.000000,100,20/3/2021, 21:26:03
24.879999,50.208984,55.000000,100,20/3/2021, 21:26:04
24.889999,50.208984,55.000000,100,20/3/2021, 21:26:05
24.900000,49.951172,55.000000,100,20/3/2021, 21:26:06
24.889999,49.951172,55.000000,100,20/3/2021, 21:26:07
24.900000,49.725586,55.000000,100,20/3/2021, 21:26:08
24.900000,49.725586,55.000000,100,20/3/2021, 21:26:09
24.900000,49.209961,55.000000,100,20/3/2021, 21:26:10
24.889999,49.209961,55.000000,100,20/3/2021, 21:26:11
24.900000,49.177734,55.000000,100,20/3/2021, 21:26:12
24.900000,49.177734,55.000000,100,20/3/2021, 21:26:13
24.889999,49.693359,55.000000,100,20/3/2021, 21:26:14
24.900000,49.693359,55.000000,100,20/3/2021, 21:26:15
24.900000,50.370117,55.000000,100,20/3/2021, 21:26:16
24.900000,50.370117,55.000000,100,20/3/2021, 21:26:17
24.900000,51.304688,55.000000,100,20/3/2021, 21:26:18
24.900000,51.304688,55.000000,100,20/3/2021, 21:26:19
24.910000,52.013672,55.000000,100,20/3/2021, 21:26:20
24.900000,52.013672,55.000000,100,20/3/2021, 21:26:21
24.910000,52.110352,55.000000,100,20/3/2021, 21:26:22
24.910000,52.110352,55.000000,100,20/3/2021, 21:26:23
24.889999,51.788086,55.000000,100,20/3/2021, 21:26:24
24.900000,51.788086,55.000000,100,20/3/2021, 21:26:25
24.910000,51.788086,55.000000,100,20/3/2021, 21:26:26
24.900000,52.303711,55.000000,100,20/3/2021, 21:26:27
24.900000,52.303711,55.000000,100,20/3/2021, 21:26:28
24.900000,51.723633,55.000000,100,20/3/2021, 21:26:29
24.900000,51.723633,55.000000,100,20/3/2021, 21:26:30
24.900000,52.078125,55.000000,100,20/3/2021, 21:26:31
24.900000,52.078125,55.000000,100,20/3/2021, 21:26:32
24.910000,53.173828,55.000000,100,20/3/2021, 21:26:33
24.910000,53.173828,55.000000,100,20/3/2021, 21:26:34
24.900000,53.109375,55.000000,100,20/3/2021, 21:26:35
24.910000,53.109375,55.000000,100,20/3/2021, 21:26:36
24.900000,53.528320,55.000000,100,20/3/2021, 21:26:37
24.910000,53.528320,55.000000,100,20/3/2021, 21:26:38
24.900000,54.205078,55.000000,100,20/3/2021, 21:26:39
24.900000,54.205078,55.000000,100,20/3/2021, 21:26:40
24.900000,54.108398,55.000000,100,20/3/2021, 21:26:41
24.910000,54.108398,55.000000,100,20/3/2021, 21:26:42
24.910000,54.043945,55.000000,100,20/3/2021, 21:26:43
24.900000,54.043945,55.000000,100,20/3/2021, 21:26:44
24.889999,55.171875,55.000000,93,20/3/2021, 21:26:45
24.889999,55.171875,55.000000,98,20/3/2021, 21:26:46
24.889999,55.333008,55.000000,96,20/3/2021, 21:26:47
24.889999,55.333008,55.000000,97,20/3/2021, 21:26:48
24.889999,56.364258,55.000000,85,20/3/2021, 21:26:49
24.889999,56.364258,55.000000,89,20/3/2021, 21:26:50
24.889999,56.428711,55.000000,87,20/3/2021, 21:26:51
24.900000,56.428711,55.000000,86,20/3/2021, 21:26:52
24.900000,56.428711,55.000000,84,20/3/2021, 21:26:53
24.910000,56.428711,55.000000,83,20/3/2021, 21:26:54
24.900000,55.848633,55.000000,88,20/3/2021, 21:26:55
24.900000,55.848633,55.000000,84,20/3/2021, 21:26:56
24.900000,55.655273,55.000000,85,20/3/2021, 21:26:57
24.900000,55.655273,55.000000,84,20/3/2021, 21:26:58
24.889999,54.785156,55.000000,93,20/3/2021, 21:26:59
24.900000,54.785156,55.000000,89,20/3/2021, 21:27:00
24.900000,54.366211,55.000000,93,20/3/2021, 21:27:01
24.900000,54.366211,55.000000,92,20/3/2021, 21:27:02
24.900000,54.301758,55.000000,93,20/3/2021, 21:27:03
24.910000,54.301758,55.000000,94,20/3/2021, 21:27:04
24.910000,54.269531,55.000000,95,20/3/2021, 21:27:05
24.910000,54.269531,55.000000,95,20/3/2021, 21:27:06
24.910000,54.914062,55.000000,89,20/3/2021, 21:27:07
24.900000,54.914062,55.000000,92,20/3/2021, 21:27:08
24.910000,54.914062,55.000000,92,20/3/2021, 21:27:09
24.910000,54.914062,55.000000,92,20/3/2021, 21:27:10
24.910000,54.914062,55.000000,92,20/3/2021, 21:27:11
24.910000,55.816406,55.000000,83,20/3/2021, 21:27:12
24.910000,55.816406,55.000000,86,20/3/2021, 21:27:13
24.910000,55.945312,55.000000,84,20/3/2021, 21:27:14
24.920000,55.945312,55.000000,84,20/3/2021, 21:27:15
24.920000,57.105469,55.000000,70,20/3/2021, 21:27:16
24.910000,57.105469,55.000000,74,20/3/2021, 21:27:17
24.920000,56.815430,55.000000,75,20/3/2021, 21:27:18
24.920000,56.815430,55.000000,72,20/3/2021, 21:27:19
24.910000,56.944336,55.000000,68,20/3/2021, 21:27:20
24.920000,56.944336,55.000000,67,20/3/2021, 21:27:21
24.930000,57.717773,55.000000,57,20/3/2021, 21:27:22
24.930000,57.717773,55.000000,58,20/3/2021, 21:27:23
24.920000,58.555664,55.000000,46,20/3/2021, 21:27:24
24.930000,58.555664,55.000000,46,20/3/2021, 21:27:25
24.930000,57.750000,55.000000,52,20/3/2021, 21:27:26
24.930000,57.750000,55.000000,45,20/3/2021, 21:27:27
24.930000,57.814453,55.000000,42,20/3/2021, 21:27:28
24.940001,57.814453,55.000000,39,20/3/2021, 21:27:29
24.940001,59.909180,55.000000,13,20/3/2021, 21:27:30
24.940001,59.909180,55.000000,19,20/3/2021, 21:27:31
24.940001,59.232422,55.000000,21,20/3/2021, 21:27:32
24.940001,59.232422,55.000000,14,20/3/2021, 21:27:33
24.930000,59.264648,55.000000,9,20/3/2021, 21:27:34
24.930000,59.264648,55.000000,5,20/3/2021, 21:27:35
24.940001,60.424805,55.000000,-11,20/3/2021, 21:27:36
24.940001,60.424805,55.000000,-11,20/3/2021, 21:27:37
24.940001,60.650391,55.000000,-19,20/3/2021, 21:27:38
24.950001,60.650391,55.000000,-23,20/3/2021, 21:27:39
24.940001,59.329102,55.000000,-14,20/3/2021, 21:27:40
24.940001,59.329102,55.000000,-25,20/3/2021, 21:27:41
24.940001,60.231445,55.000000,-39,20/3/2021, 21:27:42
24.940001,60.231445,55.000000,-40,20/3/2021, 21:27:43
24.950001,60.360352,55.000000,-47,20/3/2021, 21:27:44
24.940001,60.360352,55.000000,-52,20/3/2021, 21:27:45
24.940001,60.005859,55.000000,-53,20/3/2021, 21:27:46
24.940001,60.005859,55.000000,-60,20/3/2021, 21:27:47
24.940001,59.393555,55.000000,-58,20/3/2021, 21:27:48
24.940001,59.393555,55.000000,-65,20/3/2021, 21:27:49
24.940001,59.715820,55.000000,-73,20/3/2021, 21:27:50
24.950001,59.715820,55.000000,-77,20/3/2021, 21:27:51
24.940001,59.715820,55.000000,-81,20/3/2021, 21:27:52
24.930000,59.103516,55.000000,-79,20/3/2021, 21:27:53
24.940001,59.103516,55.000000,-86,20/3/2021, 21:27:54
24.940001,59.296875,55.000000,-93,20/3/2021, 21:27:55
24.930000,59.296875,55.000000,-96,20/3/2021, 21:27:56
24.940001,59.393555,55.000000,-100,20/3/2021, 21:27:57
24.940001,59.393555,55.000000,-100,20/3/2021, 21:27:58
24.930000,59.103516,55.000000,-100,20/3/2021, 21:27:59
24.930000,59.103516,55.000000,-100,20/3/2021, 21:28:00
24.940001,58.652344,55.000000,-100,20/3/2021, 21:28:01
24.940001,58.652344,55.000000,-100,20/3/2021, 21:28:02
24.940001,57.846680,55.000000,-100,20/3/2021, 21:28:03
24.940001,57.846680,55.000000,-100,20/3/2021, 21:28:04
